country_by_ip_address,region_by_ip_address,place,visitor_recognition_type,referer_boolean,product_topic
US,CA,US_CA,ANONYMOUS,No referrer,4
US,CA,US_CA,ANONYMOUS,No referrer,10
NL,UT,NL_UT,LOGGEDIN,With referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,2
BE,VBR,BE_VBR,ANONYMOUS,With referrer,6
NL,UT,NL_UT,LOGGEDIN,No referrer,6
BE,VBR,BE_VBR,ANONYMOUS,No referrer,1
BE,WHT,BE_WHT,ANONYMOUS,With referrer,7
NL,LI,NL_LI,RECOGNIZED,With referrer,6
NL,OV,NL_OV,LOGGEDIN,With referrer,6
NL,,,ANONYMOUS,No referrer,4
BE,VBR,BE_VBR,ANONYMOUS,With referrer,3
NL,GR,NL_GR,RECOGNIZED,With referrer,6
NL,ZH,NL_ZH,ANONYMOUS,With referrer,1
US,FL,US_FL,ANONYMOUS,No referrer,7
NL,,,ANONYMOUS,No referrer,7
US,CA,US_CA,ANONYMOUS,No referrer,1
US,CA,US_CA,ANONYMOUS,No referrer,8
US,OK,US_OK,ANONYMOUS,No referrer,10
US,CA,US_CA,ANONYMOUS,No referrer,5
US,CA,US_CA,ANONYMOUS,No referrer,10
BE,VOV,BE_VOV,LOGGEDIN,With referrer,6
BE,VWV,BE_VWV,ANONYMOUS,With referrer,3
NL,GR,NL_GR,ANONYMOUS,With referrer,6
NL,,,ANONYMOUS,No referrer,5
US,CA,US_CA,ANONYMOUS,No referrer,3
NL,ZH,NL_ZH,LOGGEDIN,With referrer,1
US,OK,US_OK,ANONYMOUS,No referrer,9
US,CA,US_CA,ANONYMOUS,No referrer,1
CN,BJ,CN_BJ,ANONYMOUS,No referrer,3
US,CA,US_CA,ANONYMOUS,No referrer,2
US,CA,US_CA,ANONYMOUS,No referrer,1
FR,,,ANONYMOUS,No referrer,7
NL,ZH,NL_ZH,ANONYMOUS,No referrer,10
US,CA,US_CA,ANONYMOUS,No referrer,9
US,CA,US_CA,ANONYMOUS,No referrer,7
NL,NH,NL_NH,ANONYMOUS,No referrer,1
NL,NB,NL_NB,LOGGEDIN,No referrer,2
BE,VOV,BE_VOV,RECOGNIZED,With referrer,2
US,CA,US_CA,ANONYMOUS,No referrer,1
NL,NB,NL_NB,ANONYMOUS,No referrer,6
NL,OV,NL_OV,RECOGNIZED,No referrer,4
US,CA,US_CA,ANONYMOUS,No referrer,5
UA,30,UA_30,ANONYMOUS,With referrer,2
US,OR,US_OR,ANONYMOUS,No referrer,4
US,CA,US_CA,ANONYMOUS,No referrer,1
US,CA,US_CA,ANONYMOUS,No referrer,9
NL,LI,NL_LI,ANONYMOUS,No referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,5
NL,ZH,NL_ZH,RECOGNIZED,No referrer,4
NL,GE,NL_GE,ANONYMOUS,With referrer,6
NL,,,ANONYMOUS,No referrer,3
DE,,,ANONYMOUS,No referrer,7
US,CA,US_CA,ANONYMOUS,No referrer,5
NL,,,RECOGNIZED,No referrer,8
NL,ZH,NL_ZH,ANONYMOUS,With referrer,4
BE,VAN,BE_VAN,ANONYMOUS,No referrer,2
NL,,,RECOGNIZED,With referrer,6
NL,ZH,NL_ZH,ANONYMOUS,With referrer,8
US,CA,US_CA,ANONYMOUS,No referrer,8
US,CA,US_CA,ANONYMOUS,No referrer,7
NL,NB,NL_NB,RECOGNIZED,With referrer,10
,,,ANONYMOUS,No referrer,1
NL,GE,NL_GE,ANONYMOUS,No referrer,2
NL,GR,NL_GR,ANONYMOUS,With referrer,9
US,CA,US_CA,ANONYMOUS,No referrer,1
US,CA,US_CA,ANONYMOUS,No referrer,1
NL,,,RECOGNIZED,No referrer,4
NL,ZH,NL_ZH,LOGGEDIN,No referrer,6
NL,UT,NL_UT,RECOGNIZED,No referrer,2
US,CA,US_CA,ANONYMOUS,No referrer,7
US,CA,US_CA,ANONYMOUS,No referrer,10
BE,VWV,BE_VWV,RECOGNIZED,With referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,2
NL,NH,NL_NH,ANONYMOUS,With referrer,10
NL,NB,NL_NB,RECOGNIZED,With referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,1
BE,VOV,BE_VOV,ANONYMOUS,No referrer,1
US,CA,US_CA,ANONYMOUS,No referrer,1
NL,OV,NL_OV,ANONYMOUS,No referrer,9
US,CA,US_CA,ANONYMOUS,No referrer,10
US,CA,US_CA,ANONYMOUS,No referrer,1
NL,,,RECOGNIZED,No referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,1
NL,FL,NL_FL,ANONYMOUS,No referrer,5
NL,,,LOGGEDIN,With referrer,8
NL,DR,NL_DR,RECOGNIZED,With referrer,6
US,NY,US_NY,ANONYMOUS,No referrer,3
NL,UT,NL_UT,LOGGEDIN,No referrer,10
NL,NH,NL_NH,LOGGEDIN,With referrer,4
HU,BU,HU_BU,ANONYMOUS,No referrer,5
US,CA,US_CA,ANONYMOUS,No referrer,5
BE,VAN,BE_VAN,ANONYMOUS,No referrer,1
US,CA,US_CA,ANONYMOUS,No referrer,3
US,CA,US_CA,ANONYMOUS,No referrer,10
NL,ZH,NL_ZH,RECOGNIZED,With referrer,6
GB,ENG,GB_ENG,ANONYMOUS,No referrer,2
US,CA,US_CA,ANONYMOUS,No referrer,7
BE,WLG,BE_WLG,ANONYMOUS,No referrer,2
NL,UT,NL_UT,ANONYMOUS,No referrer,2
US,CA,US_CA,ANONYMOUS,No referrer,5
NL,,,ANONYMOUS,No referrer,4
GB,ENG,GB_ENG,ANONYMOUS,No referrer,2
US,CA,US_CA,ANONYMOUS,No referrer,8
NL,,,ANONYMOUS,No referrer,1
NL,OV,NL_OV,ANONYMOUS,No referrer,1
US,FL,US_FL,ANONYMOUS,With referrer,2
BE,VBR,BE_VBR,ANONYMOUS,With referrer,6
US,OK,US_OK,ANONYMOUS,No referrer,2
NL,NB,NL_NB,ANONYMOUS,With referrer,4
US,CA,US_CA,ANONYMOUS,No referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,2
NL,DR,NL_DR,RECOGNIZED,With referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,9
BE,,,ANONYMOUS,With referrer,1
NL,NH,NL_NH,RECOGNIZED,With referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,1
NL,GR,NL_GR,ANONYMOUS,With referrer,4
US,CA,US_CA,ANONYMOUS,No referrer,10
NL,OV,NL_OV,RECOGNIZED,With referrer,3
NL,,,ANONYMOUS,No referrer,4
US,WI,US_WI,ANONYMOUS,No referrer,9
NL,OV,NL_OV,RECOGNIZED,With referrer,2
,,,ANONYMOUS,No referrer,1
NL,ZH,NL_ZH,ANONYMOUS,With referrer,3
NL,,,ANONYMOUS,No referrer,7
NL,ZH,NL_ZH,RECOGNIZED,No referrer,1
NL,NH,NL_NH,RECOGNIZED,With referrer,9
US,CA,US_CA,ANONYMOUS,No referrer,3
BE,VOV,BE_VOV,RECOGNIZED,No referrer,5
US,CA,US_CA,ANONYMOUS,No referrer,8
NL,NH,NL_NH,RECOGNIZED,With referrer,1
US,CA,US_CA,ANONYMOUS,No referrer,9
US,CA,US_CA,ANONYMOUS,No referrer,1
NL,OV,NL_OV,LOGGEDIN,No referrer,1
NL,,,RECOGNIZED,With referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,3
BE,VWV,BE_VWV,ANONYMOUS,No referrer,4
US,CA,US_CA,ANONYMOUS,No referrer,10
QA,DA,QA_DA,RECOGNIZED,With referrer,6
US,CA,US_CA,ANONYMOUS,No referrer,7
US,CA,US_CA,ANONYMOUS,No referrer,8
NL,GE,NL_GE,LOGGEDIN,With referrer,1
US,CA,US_CA,ANONYMOUS,No referrer,8
